Date,WT_HCB,Chla_HCB,Cyanocell_HCB,TN_HCB,TP_HCB,WL_UP_DSB,WL_HCB,Discharge_UP_DSB,Discharge_HCB,Prec_HCB,Temp_HCB,Forecast_Temp_HCB
2012-01-09,1.8,16,0,4.201,0.146,10.00571429,7.488571429,0,0,0,-2.5,4
2012-01-16,3.9,57.1,0,5.072,0.206,9.861428571,7.604285714,0,0,0.1,-1.014285714,6.5
2012-01-23,3.1,73.85,0,5.288,0.243,9.867142857,7.508571429,0,0,8,3.671428571,1.7
2012-01-30,2.766666667,67.23333333,0,5.495,0.244,10.15857143,5.747142857,0,0,0,-1.985714286,1.4
2012-02-06,3.566666667,41.93333333,0,4.611,0.103,9.01,4.992857143,0,0,1.4,-2.7,2.3
2012-02-13,4.15,60.45,0,4.565,0.091,9.131428571,8.404285714,0,0,0,-1.214285714,3.5
2012-02-20,5.9,92,0,4.869,0.12,9.904285714,9.788571429,0,0,4,-0.071428571,8.1
2012-02-27,6.15,117.225,0,5.808,0.229,11.40428571,9.938571429,0,0,0.5,2.885714286,8.9
2012-03-05,6.65,91.7,0,5.138,0.153,11.56714286,10.11,0,0,31.5,5.385714286,8.8
2012-03-12,9,123.25,0,5.571,0.156,12.14,10.43571429,0,0,3.5,4.914285714,10.7
2012-03-19,10.2,65.85,0,4.088,0.083,11.65285714,10.05428571,0,0,10,6.957142857,9.7
2012-03-26,12.9,10.65,0,4.526,0.107,11.79285714,10.43,0,0,23.5,5.928571429,13.4
2012-04-02,12.7,8.4,0,5.869,0.218,12.06285714,10.5,0,0,34.5,10.51428571,13.5
2012-04-09,15.2,31.3,0,4.552,0.148,12.59857143,10.40571429,0,0,26.5,11.07142857,18.6
2012-04-16,18.2,20.2,0,2.919,0.08,12.04857143,9.945714286,0,0,5.5,15.05714286,19.2
2012-04-23,19.5,15.2,0,3.67,0.139,13.10428571,10.25857143,0,0,71,14.61428571,21.4
2012-04-30,17,51.8,0,,,14.13557143,9.512857143,0,0,25.5,15.65714286,24.1
2012-05-07,20.2,44.1,0,3.075,0.106,14.12571429,8.985714286,0,0,5.6,19.85714286,23.9
2012-05-14,19.3,24.3,0,3.173,0.082,13.38857143,9.021428571,0,0,30.5,17.01428571,23.9
2012-05-21,22.6,6.4,361,2.864,0.076,12.6,8.918571429,0,0,0.1,18.74285714,27.3
2012-05-28,25.9,5.7,48,3.33,0.086,13.38,9.034285714,0,0,6,20.85714286,27
2012-06-04,25.8,10.8,1051,2.798,0.109,13.92571429,8.9,0,0,41,20.81428571,28.2
2012-06-11,25.9,24.5,440,2.488,0.075,13.66285714,8.714285714,195.309,0,9,22.75714286,27.7
2012-06-18,26,58.6,11308,2.837,0.067,13.42571429,9.174285714,0,0,21,22.1,28.8
2012-06-25,24.7,42.9,6054,2.694,0.072,13.95285714,9.592857143,0,0,11,23.08571429,27.4
2012-07-02,28.9,50.5,18738,2.665,0.096,13.84,9.184285714,0,0,24.5,23.21428571,28.1
2012-07-09,27.6,14.3,3664,1.728,0.075,14.16428571,10.55285714,0,0,41,25.55714286,27.3
2012-07-16,25,16.4,343,3.489,0.164,14.25142857,9.9,4741.086,5620.296,250.7,25.12857143,28.2
2012-07-23,29.1,22.3,960,3.239,0.113,14.26428571,9.812857143,3732.26,4590.701,50.3,26.81428571,33.2
2012-07-30,30,22.3,2893.5,2.835,0.122,14.14571429,9.587142857,1091.539,1081.233,0.4,29.71428571,33.4
2012-08-06,31.63333333,110.8,169552.6667,3.447,0.142,14.09571429,9.89,686.695,784.676,0,29.14285714,31.7
2012-08-13,28.2,14.65714286,8338.714286,3.041,0.117,14.07571429,10.65714286,1464.775,1647.837,46,26.98571429,30
2012-08-20,26.58,22.56,1032,2.613,0.178,14.19714286,10.53571429,5061.711,6176.505,15.2,27.7,30.4
2012-08-27,25.925,11.775,814,2.979,0.151,14.13857143,10.37142857,7795.701,8995.138,379.7,25.21428571,29.4
2012-09-03,23.13333333,10.63333333,544,2.603,0.119,14.19,10.19285714,6185.917,7251.624,82.6,24.58571429,27.6
2012-09-10,22.45,3,787.5,2.609,0.109,14.25714286,10.31285714,5778.614,6492.908,95.6,22.42857143,25.3
2012-09-17,24.3,7,12,2.55,0.162,14.71714286,11.11571429,8050.049,9178.972,306,20.65714286,25.2
2012-09-24,26.65,16.1,16,2.718,0.136,14.25571429,10.58285714,12137.294,15220.609,0,19.25714286,24.8
2012-10-01,23.8,23.7,0,2.83,0.113,14.06714286,10.43142857,1768.856,1659.459,0,17.68571429,24.4
2012-10-08,21.3,6.6,0,3.304,0.076,13.98714286,10.6,1415.761,1181.274,0,16.51428571,22.1
2012-10-15,19.8,18.25,172,3.234,0.078,14.01,10.42857143,1132.674,929.267,0,13.68571429,20.9
2012-10-22,18.9,15.35,0,3.259,0.078,14.11571429,9.807142857,995.878,865.945,13.1,12.82857143,19
2012-10-29,17.75,5.6,0,3.504,0.048,14.04857143,9.494285714,1290.795,861.806,21,12.6,14.4
2012-11-05,15.8,22.3,0,3.406,0.053,13.39857143,10.11428571,567.571,626.531,2,8.8,14.2
