Date,WT_HP,Chla_HP,Cyanocell_HP,TN_HP,TP_HP,WL_UP_GMB,WL_CGB,Discharge_UP_GMB,Discharge_CGB,Prec_HP,Temp_HP,Forecast_Temp_HP
2016-04-04,12.6,8.8,0,2.973,0.024,32.52285714,25.54142857,84.329,146.839,20.2,13.32857143,19.2
2016-04-11,12.8,9.9,0,3.259,0.026,32.57142857,25.63142857,540.589,723.782,47.4,14.22857143,20.2
2016-04-18,15.1,14.6,0,2.989,0.037,32.57142857,25.58857143,603.689,577.209,26.1,15,21.2
2016-04-25,17.5,16,63,2.611,0.038,32.58857143,25.60857143,1440.702,1278.3,31.6,15.87142857,22.1
2016-05-02,18.7,14,20,,,32.56857143,25.59428571,932.208,952.615,39.35,16.38571429,22.9
2016-05-09,18.5,23,44,2.585,0.034,32.47428571,25.55285714,720.944,671.114,5.05,19.02857143,23.6
2016-05-16,18.4,21.3,93,2.448,0.022,32.53,25.68714286,522.662,634.23,42.15,17.12857143,27
2016-05-23,22.5,14.3,64,2.137,0.037,32.41571429,25.54428571,415.288,437.349,0,20.25714286,26.8
2016-05-30,24.3,10.2,287,,,32.45,25.56428571,386.154,380.721,11.55,21.97142857,28.2
2016-06-06,24,4.1,1287,1.759,0.019,32.53142857,25.55428571,239.74,293.17,0.95,21.45714286,28.2
2016-06-13,25.1,5.5,198,1.731,0.038,32.56428571,25.61857143,379.127,493.408,6.15,23.6,28.6
2016-06-20,25.9,8.6,651,1.293,0.026,32.54142857,25.62571429,421.882,521.4,1.35,24.58571429,28.1
2016-06-27,26,16.5,998,1.37,0.039,32.56428571,25.62142857,474.305,595.348,16.9,24.05714286,27.9
2016-07-04,24,6,423,1.444,0.062,32.59428571,25.61714286,2445.953,2707.073,150.1,23.58571429,28.1
2016-07-11,25.5,6.2,72,3.511,0.115,32.58285714,25.42142857,9272.845,11334.232,128.1,26.1,28.9
2016-07-18,26.3,25.6,528,3.421,0.044,32.59428571,25.53142857,1099.199,1179.896,14.5,24.92857143,28.9
2016-07-25,27.4,8.5,229,,,32.47714286,25.55714286,508.486,620.468,0.1,26.37142857,31.5
2016-08-01,29.2,10.3,55,,,32.52285714,25.58714286,392.262,569.266,36.85,28.87142857,32
2016-08-08,29.4,17.2,455,,,32.54571429,25.63857143,470.09,628.119,58.95,28.22857143,33.7
2016-08-15,30.4,16.2,475,1.946,0.04,32.53285714,25.54428571,358.886,538.052,0,29.64285714,32.2
2016-08-22,30.6,29.6,685,1.743,0.039,32.53,25.51714286,377.977,392.488,0.1,28.87142857,31.3
2016-08-29,26.1,27.5,371,,,32.58285714,25.58714286,530.145,513.493,52.7,23.92857143,28.3
2016-09-05,24.7,21.8,199,1.644,0.035,32.66714286,25.61714286,1096.759,1047.171,76.55,22.92857143,28.7
2016-09-12,24.1,10.2,293,,,32.59285714,25.69571429,665.707,757.477,17.35,22.87142857,26.9
2016-09-19,21.7,6,191,2.771,0.116,32.65,25.69428571,2589.47,3564.974,130.45,20.85714286,25.5
2016-09-26,21.2,14.3,234,2.565,0.061,32.66285714,25.73428571,998.301,1137.611,1.85,19.5,24.5
2016-10-03,21.8,6.2,106,2.668,0.093,32.58571429,25.65714286,617.766,711.454,38.4,20.48571429,24.1
2016-10-10,19.1,11.5,30,2.496,0.056,32.66142857,25.63428571,2272.806,3096.273,105.05,17.3,21.7
2016-10-17,19.2,21,143,2.478,0.042,32.61142857,25.62857143,872.157,989.125,15.7,15.38571429,21.4
2016-10-24,17.7,16.1,19,2.569,0.044,32.54,25.62,452.131,634.177,0.65,15.88571429,17.8
2016-10-31,14.4,33.8,143,,,32.54571429,25.61,482.779,572.925,11.2,12.08571429,14.3
2016-11-07,14.5,49.6,0,2.504,0.022,32.54285714,25.55142857,426.221,535.679,0,8.985714286,13.2
2016-11-14,13.3,17.6,71,2.553,0.019,32.53142857,25.53428571,380.37,447.824,0.45,8.942857143,15.2
2016-11-21,12.4,10.6,0,2.569,0.018,32.52571429,25.53285714,372.839,447.365,8.9,10.5,8.6
2016-11-28,9,8.8,0,,,32.52571429,25.53142857,350.209,413.834,2.25,3.242857143,9
2016-12-05,8,8.4,0,2.525,0.018,32.54142857,25.53142857,350.936,400.361,0.65,5.242857143,6.8
2016-12-12,6.4,8,0,2.633,0.019,32.53285714,25.52571429,328.517,382.75,1.4,1.985714286,6
2016-12-19,5.8,9,0,,,32.52857143,25.52142857,309.95,359.253,2.35,3.157142857,8.2
2016-12-26,4.9,5.4,0,,,32.59285714,25.59714286,628.774,569.01,15.75,4.333333333,4.8
2017-01-02,4.3,6.7,0,,,32.59142857,25.58857143,612.033,569.521,0,1.328571429,8.3
2017-01-09,5.2,12.1,0,2.955,0.023,32.57285714,25.54571429,531.303,516.875,0.3,4.614285714,2.9
2017-01-16,2.1,29.2,0,2.847,0.018,32.55428571,25.53142857,459.08,435.372,0.25,-1.3,3.2
2017-01-23,1.5,23.2,0,,,32.55428571,25.52714286,477.155,428.09,2.85,-1.6,3.5
2017-01-30,,,,,,32.52857143,25.51857143,314.299,334.117,1.55,-0.071428571,4.6
2017-02-06,3.7,23.2,0,2.964,0.016,32.52857143,25.52857143,272.502,266.871,0.25,2.028571429,3.6
2017-02-13,3.2,18.9,0,2.765,0.015,32.52285714,25.53142857,270.031,269.974,0.8,-0.028571429,7.6
2017-02-20,4.9,15.7,0,2.777,0.012,32.52428571,25.53571429,276.629,276.488,11.6,3.928571429,6.5
2017-02-27,5.8,14.1,0,,,32.53714286,25.58428571,413.953,466.982,18.4,3.257142857,10.3
