Date,WT_GJB,Chla_GJB,Cyanocell_GJB,TN_GJB,TP_GJB,WL_UP_SaJB,WL_GJB,Discharge_UP_SaJB,Discharge_GJB,Prec_GJB,Temp_GJB,Forecast_Temp_GJB
2012-01-16,4.8,8.2,0,5.832,0.109,10.89142857,4.26,0,0,0.15,-1.2,4.357142857
2012-01-23,0.7,4.3,0,5.856,0.08,11.20142857,4.26,0,0,4.7,1.085714286,5.814285714
2012-01-30,2.9,7.3,0,5.937,0.091,11.13428571,4.26,0,0,1.4,-2.671428571,1.657142857
2012-02-06,2,7.1,0,5.362,0.078,11.14,4.26,0,0,5.9,-4.3,1.528571429
2012-02-13,4.9,10.4,0,6.567,0.06,11.12142857,4.552857143,0,0,0.35,-2.228571429,2.471428571
2012-02-20,4.7,11.7,0,5.9,0.065,11.13714286,8.221428571,0,0,0.2,-1.285714286,4.157142857
2012-02-27,5.2,24.3,0,5.922,0.062,11.37571429,8.151428571,0,0,1.95,2.3,8.214285714
2012-03-05,6.8,15,0,6.188,0.09,11.49428571,5.352857143,0,0,15,5.757142857,8.885714286
2012-03-12,6.5,9.4,0,5.016,0.074,10.86,4.345714286,0,0,3.55,2.8,9.071428571
2012-03-19,9.4,24.2,0,5.737,0.09,10.64,5.388571429,0,0,4.5,5.8,10.55714286
2012-03-26,8.1,28.7,0,5.018,0.13,10.64,8.082857143,0,0,19.9,5.028571429,10.22857143
2012-04-02,9.5,26.4,0,5.533,0.156,10.89428571,8.088571429,0,0,12.2,9.185714286,13.41428571
2012-04-09,12,12.7,0,3.921,0.051,11.71571429,8.098571429,0,0,15.05,9.6,14.22857143
2012-04-16,14.1,51.5,0,4.093,0.066,10.95714286,8.158571429,0,0,2.8,13.05714286,18.68571429
2012-04-23,12.4,21.6,0,2.728,0.088,11.59,8.512857143,0,0,34,14.58571429,19.51428571
2012-04-30,15.5,36.8,0,2.491,0.06,11.62714286,8.571428571,0,0,13.9,16.91428571,21.78571429
2012-05-07,18.6,120.45,165,2.826,0.094,11.4,8.485714286,0,0,0.5,19.88571429,24.07142857
2012-05-14,18.5,110.9,39,3.658,0.115,11.30714286,8.677142857,0,0,22.55,18.32857143,23.9
2012-05-21,21.05,93.35,273,3.323,0.083,11.28285714,8.748571429,0,0,0.1,18.67142857,24.38571429
2012-05-28,21.8,55.3,250,3.353,0.081,11.52142857,8.727142857,0,0,0,21.75714286,27.25714286
2012-06-04,20.6,87.7,117,2.893,0.075,11.65857143,8.722857143,0,0,1.05,21.92857143,27.17142857
2012-06-11,21.3,121.75,96,2.772,0.097,11.60142857,9.001428571,310.321,155.872,14.35,23.2,28.12857143
2012-06-18,21.85,94.9,206,2.366,0.109,11.56142857,8.735714286,0,0,2.65,23.35714286,27.85714286
2012-06-25,21.95,83.15,152,2.264,0.101,11.60142857,8.817142857,0,0,1,25.15714286,28.6
2012-07-02,24.1,97.3,806,2.256,0.144,11.67857143,8.79,0,0,39.9,24.27142857,27.5
2012-07-09,25.9,21.2,372,2.888,0.152,11.87428571,8.767142857,0,0,123.7,25.07142857,27.98571429
2012-07-16,22.5,6.9,64,3.186,0.126,11.92714286,8.784285714,2771.005,1754.993,108.4,24.64285714,27.42857143
2012-07-23,26.1,21,0,2.955,0.142,12,8.791428571,1928.602,2321.133,45.5,26.61428571,28.91428571
2012-07-30,28.3,49.1,2024,2.183,0.05,11.84428571,8.74,886.036,896.891,0,29.01428571,33.22857143
2012-08-06,28.1,77.3,2326,2.293,0.081,11.78142857,8.785714286,500.049,430.854,0,30.97142857,33.15714286
2012-08-13,24.25,37.15,548,2.432,0.447,11.79285714,8.841428571,1270.012,1713.377,85.8,27.14285714,31.45714286
2012-08-20,23,6.5,327,2.413,0.098,12.24052857,8.822857143,5701.21,6621.853,149.3,27.07142857,30.05714286
2012-08-27,22.65,9.4,579,2.723,0.094,11.87571429,8.941428571,3345.977,4371.508,91.4,25.14285714,30.25714286
2012-09-03,23.65,6.25,2006,2.166,0.082,12.32857143,8.97,6961.745,7722.548,137.8,24.37142857,29.14285714
2012-09-10,22.6,6,778,2.21,0.072,12.08142857,8.734285714,7886.406,9126.708,156.8,21.8,27.27142857
2012-09-17,20.85,9.5,2275.5,2.059,0.113,12.09,8.762857143,4596.177,4812.754,83.8,20.12857143,25.28571429
2012-09-24,21.1,11,3048,2.642,0.077,11.94285714,8.847142857,4383.048,4841.979,0.95,19.78571429,25.14285714
2012-10-01,20.4,100.4,610,3.222,0.071,11.85,8.872857143,1027.344,1104.308,0.4,18.17142857,24.74285714
2012-10-08,19.5,54.1,198,3.201,0.067,11.77571429,8.8,501.173,554.173,0,17.82857143,24.07142857
2012-10-15,18.8,44.1,336,3.812,0.07,11.73714286,8.787142857,435.542,510.328,0.05,14.1,21.92857143
2012-10-22,13.8,11.9,56,3.438,0.072,11.82857143,8.622857143,408.346,485.467,59.65,13.5,20.62857143
2012-10-29,16.4,11.5,248,3.692,0.091,11.83285714,8.897142857,592.184,723.295,21.6,13.21428571,18.34285714
2012-11-05,10.25,5.9,6,3.459,0.049,11.77142857,8.714285714,441.243,496.758,5.8,8.571428571,14.37142857
2012-11-12,11,7.2,152,3.684,0.086,11.61571429,7.788571429,489.575,654.366,32.05,9.785714286,13.74285714
2012-11-19,9.4,4.7,0,3.108,0.068,11.80428571,8.615714286,551.989,649.454,16.1,4.9,10.94285714
2012-11-26,,,,4.278,0.061,11.78571429,8.784285714,483.309,631.151,4,3.385714286,10.18571429
2012-12-03,6.5,3.5,0,3.722,0.047,11.77285714,8.755714286,452.399,549.518,5.3,2.485714286,7.085714286
2012-12-10,3.1,1.6,0,4.05,0.042,11.76291429,8.664285714,475.764,574.105,21.8,-4.1,3.685714286
2012-12-17,3.9,3,0,4.225,0.057,11.78714286,8.617142857,563.039,613.573,19.8,-0.614285714,5.028571429
2012-12-24,2.2,1.7,0,4,0.043,11.79857143,8.62,532.921,610.787,6.65,-3.842857143,2.571428571
2012-12-31,,,,,,11.81285714,8.612857143,531.154,609.68,12,-5.385714286,0.942857143
2013-01-07,1.9,2,0,4.166,0.035,11.80714286,8.562857143,484.157,586.357,7.4,-7.157142857,-0.085714286
2013-01-14,3.2,3.7,0,4.032,0.047,11.77142857,8.514285714,493.534,573.95,0,-3.728571429,3.157142857
2013-01-21,4.5,6.5,0,3.829,0.04,11.73428571,8.631428571,620.817,568.794,35.6,-0.942857143,3.9
2013-01-28,3.2,3.4,0,2.497,0.023,11.92428571,8.92,1042.478,1199.203,3.15,-1.771428571,3.371428571
2013-02-04,3.9,4.1,0,3.037,0.061,11.95857143,8.854285714,1246.752,1553.217,44.2,3.1,6.628571429
2013-02-11,3.3,2.9,36,3.281,0.038,11.74714286,8.571428571,1266.295,1360.362,7.5,-4.2,2.385714286
2013-02-18,4.7,2.9,0,4.268,0.061,11.36714286,7.898571429,706.366,803.57,0.2,0.157142857,4.8
2013-02-25,5.1,4.5,20,4.166,0.068,10.94142857,7.955714286,558.952,643.278,2.65,-0.028571429,5.9
2013-03-04,6.6,10.8,10,4.77,0.058,10.36142857,7.884285714,435.691,541.758,4.6,4.128571429,9.714285714
2013-03-11,10.1,29.1,0,5.363,0.071,9.457142857,7.825714286,335.747,443.054,2.4,8.242857143,14.37142857
2013-03-18,10.3,23.4,160,5.326,0.107,9.498571429,7.954285714,462.501,593.023,45.5,7.442857143,13
2013-03-25,10.2,11.8,30,4.966,0.087,9.252857143,7.91,558.58,647.104,0.2,5.985714286,13.07142857
2013-04-01,10.7,20,0,5.327,0.072,9.03,7.921428571,491.898,521.241,0.15,7.7,13.85714286
2013-04-08,9,17.2,60,4.818,0.104,9.695714286,8.01,499.069,631.201,19.9,9.628571429,15.81428571
2013-04-15,9.9,16.8,0,3.073,0.044,11.74571429,8.8,615.766,698.862,4.2,8.142857143,15.02857143
2013-04-22,11.7,37.8,0,3.696,0.076,11.87571429,8.832857143,702.608,706.53,18.95,11.64285714,17.22857143
2013-04-29,13.2,49.7,0,2.49,0.059,11.85571429,8.825714286,868.164,795.331,43.9,12.54285714,18.67142857
2013-05-06,15.45,76.5,45,2.821,0.045,11.70714286,8.785714286,761.445,735.625,1.25,14.1,19.77142857
2013-05-13,18.65,120.45,57,2.925,0.075,11.75571429,8.861428571,728.978,742.5,21.8,19.37142857,23.92857143
2013-05-20,16.85,75.75,54.5,3.05,0.075,11.84142857,8.812857143,731.462,727.58,32.1,19.08571429,25.22857143
2013-05-27,20.3,90.9,0,2.776,0.057,11.85714286,8.871428571,776.053,796.848,52,21.82857143,27.88571429
