Date,WT_CHB,Chla_CHB,Cyanocell_CHB,TN_CHB,TP_CHB,WL_UP_HCB,WL_CHB,Discharge_UP_HCB,Discharge_CHB,Prec_CHB,Temp_CHB,Forecast_Temp_CHB
2012-01-09,3,51,0,4.121,0.136,7.488571429,3.314285714,0,0,0,-0.042857143,4
2012-01-16,2.65,89.6,0,3.755,0.11,7.604285714,3.297142857,0,0,0.4,1.242857143,4.357142857
2012-01-23,3.15,102.8,0,4.339,0.146,7.508571429,3.35,0,0,6.15,4.471428571,5.814285714
2012-01-30,3.366666667,88.33333333,0,4.145,0.139,5.747142857,4.002857143,0,0,0,-0.085714286,1.657142857
2012-02-06,2.7,116.2666667,0,4.893,0.17,4.992857143,4.192857143,0,0,1.5,-1.271428571,1.528571429
2012-02-13,4.6,126.4,0,4.398,0.123,8.404285714,3.768571429,0,0,1.5,-0.214285714,2.471428571
2012-02-20,6.35,137.7,0,4.235,0.098,9.788571429,3.808571429,0,0,6,1.028571429,4.157142857
2012-02-27,6.25,94.6,0,2.752,0.054,9.938571429,3.812857143,0,0,0.5,4.614285714,8.214285714
2012-03-05,7.2,93.45,0,4.177,0.113,10.11,3.704285714,0,0,19.45,6.457142857,8.885714286
2012-03-12,9.7,105.75,0,4.312,0.112,10.43571429,3.818571429,0,0,3.5,5.557142857,9.071428571
2012-03-19,10.15,53.1,0,3.72,0.07,10.05428571,3.851428571,0,0,8,7.9,10.55714286
2012-03-26,11.6,10.05,0,3.7,0.075,10.43,3.815714286,0,0,30,6.371428571,10.22857143
2012-04-02,12.7,8.6,0,4.388,0.135,10.5,4.09,0,0,57.1,10.94285714,13.41428571
2012-04-09,14.9,47.7,0,3.459,0.093,10.40571429,4.355714286,0,0,55.5,11.21428571,14.22857143
2012-04-16,19.2,25.3,0,2.574,0.065,9.945714286,4.328571429,0,0,12,15.32857143,18.68571429
2012-04-23,16.9,14.5,0,3.521,0.145,10.25857143,4.45,0,0,96.5,14.47142857,19.51428571
2012-04-30,16.5,28.5,0,,,9.512857143,4.49,0,0,40,16.4,21.78571429
2012-05-07,21.2,55.8,0,2.756,0.083,8.985714286,4.371428571,0,0,13,19.31428571,24.07142857
2012-05-14,18.6,16.9,52,2.789,0.06,9.021428571,4.375714286,0,0,21,16.7,23.9
2012-05-21,23.4,25.5,56,2.543,0.054,8.918571429,4.418571429,0,0,2.2,18.95714286,24.38571429
2012-05-28,26,3.6,180,2.457,0.053,9.034285714,4.271428571,0,0,1,20.94285714,27.25714286
2012-06-04,25.2,19.9,1273,2.24,0.074,8.9,4.59,0,0,8.5,20.41428571,27.17142857
2012-06-11,26.2,20.7,1985,2.45,0.068,8.714285714,4.492857143,0,394.256,8,21.84285714,28.12857143
