Date,WT_MGMR,Chla_MGMR,Cyanocell_MGMR,TN_MGMR,TP_MGMR,WL_UP_CHB,WL_MGMR,Discharge_UP_CHB,Discharge_MGMR,Prec_MGMR,Temp_MGMR,Forecast_Temp_MGMR
2020-05-11,21.8,3.1,31,2.467,0.03,4.881428571,0,1027.585,0,36,18.3,24.25714286
2020-05-18,21.2,4.2,106,2.357,0.022,4.898571429,0,1264.598,0,17.3,18.84285714,23.27142857
2020-05-25,22.9,5,190,2.332,0.025,4.892857143,0,1680.307,0,1.6,17.51428571,22.94285714
2020-06-01,24.3,10.2,705,2.58,0.025,4.854285714,0,706.28,0,0.5,20.88571429,26
2020-06-08,26.7,11.7,1295,2.306,0.026,4.96,0,623.784,0,0,23.32857143,28.61428571
2020-06-15,26.7,5.7,1654,1.993,0.047,5.055714286,0,2707.581,0,65.8,24.91428571,29.81428571
2020-06-22,26.5,12,2506,2.104,0.044,5.045714286,0,2420.858,0,29.65,22.61428571,29.31428571
2020-06-29,26.9,16.3,4619,,,5.01,0,2001.079,0,116.3,24.2,29.25714286
2020-07-06,26.4,10.3,9017,2.46,0.055,5.127142857,0,3763.077,0,11.05,22.62857143,28.54285714
2020-07-13,24.4,3.8,219,2.25,0.052,5.317142857,0,6288.299,0,188.8,23.21428571,29.14285714
2020-07-20,24.5,4.5,329,2.177,0.064,5.157142857,0,12106.126,0,2,22.71428571,27.68571429
2020-07-27,24.1,2.4,69,2.074,0.105,5.684285714,0,19330.81,0,225.9,23.72857143,28.35714286
2020-08-03,26.3,2.3,304,1.964,0.104,5.33,0,17831.601,0,73.9,25.77142857,29.25714286
2020-08-10,,,,1.986,0.116,7.081428571,0,38151.215,0,174,26.74285714,29.25714286
2020-08-17,28.6,10.6,270,1.613,0.051,5.632857143,0,20436.758,0,38,28.61428571,31.18571429
2020-08-24,30.4,21.2,1647,1.695,0.029,4.951428571,0,3213.498,0,0,28.6,33.27142857
2020-08-31,,,,2.05,0.067,4.874285714,0,5799.016,0,58.5,27.82857143,31.55714286
2020-09-07,,,,1.98,0.084,5.62,0,18607.948,0,428.2,23.74285714,29.11428571
2020-09-14,24,4.1,759,2.228,0.069,4.93,0,8922.069,0,16.25,22.95714286,26.62857143
2020-09-21,21.5,9.9,725,2.093,0.058,4.884285714,0,3092.066,0,7.6,20.77142857,25.35714286
2020-09-28,23.4,16.9,829,,,4.897142857,0,1797.398,0,0.05,20.35714286,23.87142857
2020-10-05,21.1,28.4,587,1.851,0.028,4.885714286,0,1246.92,0,0.1,19.77142857,23.41428571
2020-10-12,21.5,45.9,860,1.648,0.016,4.78,0,1009.445,0,0,18.12857143,21.44285714
2020-10-19,20.4,3,828,1.773,0.026,3.888571429,0,807.286,0,0,15.75714286,19.68571429
2020-10-26,17.5,3.8,928,2.089,0.023,2.838571429,0,807.771,0,27.4,14.3,18.27142857
2020-11-02,16.9,1.1,321,2.304,0.025,2.248571429,0,1023.939,0,3.6,13.78571429,17.02857143
2020-11-09,13.6,1.4,95,2.265,0.03,2.227142857,0,926.853,0,0,11.07142857,14.38571429
2020-11-16,14.9,0.4,131,2.378,0.036,2.395714286,0,640.081,0,0,11.7,15.54285714
2020-11-23,13,1.8,253,2.477,0.026,4.292857143,0,406.373,0,71.25,13.94285714,14.85714286
