Date,WT_SJB,Chla_SJB,Cyanocell_SJB,TN_SJB,TP_SJB,WL_UP_ADD,WL_SJB,Discharge_UP_ADD,Discharge_SJB,Prec_SJB,Temp_SJB,Forecast_Temp_SJB
2012-01-09,1,4.4,0,2.959,0.042,151.4128571,38.86,140.421,0,0.05,-2.985714286,4
2012-01-16,3.2,2,0,3.234,0.032,151.1628571,38.85,140.839,0,0.05,-1.042857143,4.357142857
2012-01-23,0.3,4.6,0,2.837,0.023,150.92,38.77285714,139.934,0,5.7,0.528571429,5.814285714
2012-01-30,1,1.9,0,2.878,0.025,150.6728571,38.77,141.036,0,2,-2.928571429,1.657142857
2012-02-06,1.5,3.1,0,2.952,0.037,150.38,38.77,170.036,0,13.3,-5.5,1.528571429
2012-02-13,3.8,2.7,0,2.665,0.026,150.0285714,38.77,178.345,0,0.1,-2.728571429,2.471428571
2012-02-20,2.4,1.9,0,2.358,0.025,149.66,38.77,185.406,0,0,-1.328571429,4.157142857
2012-02-27,2.4,2.7,0,2.484,0.02,149.3471429,38.77,135.093,0,0.4,1.785714286,8.214285714
2012-03-05,5.5,4.1,0,2.136,0.025,148.8542857,38.88285714,332.755,0,19.5,4.042857143,8.885714286
2012-03-12,4.4,2.7,0,2.292,0.033,148.1471429,39.31142857,359.529,0,1.5,3.071428571,9.071428571
2012-03-19,9.4,8,0,2.537,0.031,147.6585714,43.32142857,148.297,0,11,5.857142857,10.55714286
2012-03-26,9,36.6,0,2.569,0.038,147.2957143,46.52428571,382.257,0,28,4.942857143,10.22857143
2012-04-02,10.3,8.3,0,2.324,0.034,146.4771429,47.1,356.221,0,14.1,8.842857143,13.41428571
2012-04-09,12.3,8,0,2.72,0.034,147.1228571,47.03428571,232.376,0,15.3,9.728571429,14.22857143
2012-04-16,17.7,15.2,0,2.269,0.021,147.0728571,47.06428571,281.683,0,3,13.88571429,18.68571429
2012-04-23,14.5,7.9,0,2.153,0.054,146.7571429,46.98857143,366.925,0,38.3,13.42857143,19.51428571
2012-04-30,18.7,8,0,,,146.9071429,46.99428571,419.616,0,24.7,16.18571429,21.78571429
2012-05-07,21.2,20.8,0,2.089,0.041,146.3728571,47.08428571,419.426,0,1.5,19.38571429,24.07142857
2012-05-14,17.6,27.2,106,1.887,0.033,145.6085714,47.07714286,299.106,0,19.7,15.98571429,23.9
2012-05-21,22.3,20.3,71,2.254,0.028,145.2085714,47.08571429,223.91,0,3,17.88571429,24.38571429
2012-05-28,23.9,8.2,0,1.862,0.03,144.6714286,46.96428571,244.286,0,35.1,20.42857143,27.25714286
2012-06-04,25.7,11.5,51,1.824,0.047,144.0342857,47.08428571,305.383,0,4.5,20.12857143,27.17142857
2012-06-11,24.3,22.9,0,1.513,0.038,143.1342857,46.38428571,350.611,97.771,17.1,21.97142857,28.12857143
2012-06-18,24.5,4.6,0,1.483,0.041,142.1371429,47.08,362.053,0,9.5,21.47142857,27.85714286
2012-06-25,25,19.5,123,1.458,0.032,141.04,47.02857143,371.686,0,1.1,22.95714286,28.6
2012-07-02,25.5,8.1,738,1.468,0.027,139.9128571,47.10285714,355.358,0,28,22.34285714,27.5
2012-07-09,26.4,4.7,228,3.47,0.084,140.1542857,47.12,315.208,0,132,24.27142857,27.98571429
2012-07-16,21,6.4,552,3.591,0.147,141.84,47.15428571,286.993,2160.648,92.8,23.41428571,27.42857143
2012-07-23,27,12.7,553,3.329,0.053,145.17,47.07714286,278.137,2472.733,47,25.1,28.91428571
2012-07-30,30.05,8.85,674,2.687,0.034,145.2814286,47.06857143,244.65,716.714,0,28.24285714,33.22857143
2012-08-06,31.06666667,14.23333333,1136.666667,1.998,0.023,144.8314286,47.02428571,267.171,423.451,0,28.57142857,33.15714286
2012-08-13,25.62857143,10.85714286,625.4285714,1.829,0.032,144.2928571,47.06285714,244.232,1006.334,70,25.51428571,31.45714286
